sample-id	input	filtered	percentage of input passed filter	denoised	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric
SRR5831794	79398	58348	73.49	57293	47015	59.21
SRR5831795	38850	29025	74.71	28475	19927	51.29
SRR5831796	309468	234492	75.77	233365	153785	49.69
SRR5831797	72204	51791	71.73	51085	34779	48.17
SRR5831798	112034	84564	75.48	83383	61081	54.52
SRR5831799	48449	36848	76.06	36404	25345	52.31
SRR5831801	405384	318310	78.52	316649	215517	53.16
SRR5831802	67025	40347	60.2	39685	30209	45.07
SRR5831803	1075377	865500	80.48	860837	639175	59.44
SRR5831804	1260500	983614	78.03	978537	648623	51.46
SRR5831805	1904284	1462574	76.8	1456473	990414	52.01
SRR5831807	78915	59075	74.86	58463	44033	55.8
SRR5831809	693438	543434	78.37	539960	371129	53.52
SRR5831812	335168	261368	77.98	258724	164763	49.16
SRR5831813	220279	170890	77.58	168144	139835	63.48
SRR5831814	1959955	1503876	76.73	1496923	952157	48.58
SRR5831815	40597	31465	77.51	30215	26077	64.23
SRR5831817	187967	141040	75.03	138953	102511	54.54
SRR5831818	105676	83083	78.62	81650	55633	52.64
SRR5831819	85569	66615	77.85	65809	49530	57.88
SRR5831821	230378	143702	62.38	142621	97574	42.35
SRR5831822	90586	66016	72.88	65352	52268	57.7
SRR5831824	143209	105797	73.88	104482	76293	53.27
SRR5831825	491045	335132	68.25	332762	234575	47.77
SRR5831827	37169	28207	75.89	27736	22061	59.35
SRR5831828	18245	13369	73.27	12949	11959	65.55
SRR5831829	126605	99971	78.96	99466	55105	43.53
SRR5831830	82292	62452	75.89	61565	54815	66.61
SRR5831832	21751	17354	79.78	16914	11419	52.5
SRR5831835	53798	40802	75.84	40051	30655	56.98
SRR5831836	225259	176468	78.34	174462	110880	49.22
SRR5831837	116073	94070	81.04	93029	75833	65.33
SRR5831839	257018	204577	79.6	202980	130346	50.71
SRR5831841	340099	268091	78.83	266010	194382	57.15
SRR5831842	95131	73006	76.74	71862	54950	57.76
SRR5831843	139704	111254	79.64	109196	77273	55.31
SRR5831846	93486	75534	80.8	74145	54093	57.86
SRR5831848	903607	727349	80.49	722881	520576	57.61
SRR5831849	30508	22318	73.15	21938	18463	60.52
SRR5831851	80879	60629	74.96	59617	43980	54.38
SRR5831852	227215	171628	75.54	169198	130679	57.51
SRR5831854	10461	7557	72.24	7290	5810	55.54
SRR5831855	316548	257057	81.21	255713	190578	60.21
SRR5831857	134327	101399	75.49	100520	60541	45.07
SRR5831858	166959	130031	77.88	128358	92213	55.23
SRR5831860	126639	99558	78.62	98107	65334	51.59
SRR5831863	48810	39257	80.43	38737	29245	59.92
SRR5831864	670596	521317	77.74	518346	334527	49.89
SRR5831865	68880	54554	79.2	54192	41890	60.82
SRR5831866	516215	398303	77.16	394787	281552	54.54
SRR5831867	288559	230129	79.75	228441	142729	49.46
SRR5831868	31484	19774	62.81	19268	13916	44.2
SRR5831869	421740	330422	78.35	328693	236717	56.13
SRR5831870	234431	186778	79.67	185139	130494	55.66
SRR5831872	219765	172978	78.71	171751	110313	50.2
SRR5831873	19554	15737	80.48	15420	13342	68.23
SRR5831874	368714	284178	77.07	281919	207769	56.35
SRR5831875	611791	466742	76.29	463686	295956	48.38
SRR5831877	161458	97218	60.21	95499	79060	48.97
SRR5831878	261819	199179	76.08	197223	145401	55.53
SRR5831879	30799	23408	76	22814	18060	58.64
SRR5831880	635797	503396	79.18	501427	279780	44
SRR5831882	159167	118756	74.61	117315	90041	56.57
SRR5831883	641025	499923	77.99	496296	345332	53.87
SRR5831884	50402	38143	75.68	37522	24817	49.24
SRR5831887	131160	105290	80.28	104487	77300	58.94
SRR5831888	323921	250712	77.4	249654	176942	54.63
SRR5831890	115358	90884	78.78	89460	58283	50.52
SRR5831891	295365	230724	78.11	227705	147400	49.9
SRR5831893	120523	92820	77.01	91656	63977	53.08
SRR5831894	56064	43725	77.99	43008	32871	58.63
SRR5831895	40080	31090	77.57	30656	21489	53.62
